Disease,Top_Class
22q11.2 deletion syndrome,Developmental anomalies
Abdominal aortic aneurysm,Diseases of the circulatory system
Abdominal aortic aneurysm (AAA),Diseases of the circulatory system
Acquired immunodeficiency syndrome (AIDS),Certain infectious or parasitic diseases
Acrodermatitis enteropathica,"Endocrine, nutritional or metabolic diseases"
Acute kidney injury,Diseases of the genitourinary system
Acute promyelocytic leukemia,Neoplasms
Aicardi-Goutières syndrome,"Endocrine, nutritional or metabolic diseases"
Allergies,Factors influencing health status or contact with health services
Alport syndrome,Developmental anomalies
Alzheimer's disease,Diseases of the nervous system
Amyotrophic lateral sclerosis (ALS),Diseases of the nervous system
Androgen insensitivity syndrome,"Endocrine, nutritional or metabolic diseases"
Aneuploidy,Developmental anomalies
Angelman syndrome,Developmental anomalies
Asthma,Diseases of the immune system
Autoimmunity,Diseases of the immune system
Azoospermia,Diseases of the genitourinary system
B-cell malignancies,Neoplasms
B-cell tumors,Neoplasms
Bardet-Biedl syndrome,"Endocrine, nutritional or metabolic diseases"
Barrett's esophagus,Diseases of the digestive system
Becker muscular dystrophy,Diseases of the nervous system
Breast tumor,Neoplasms
Burkitt's lymphoma,Neoplasms
COVID-19,Certain infectious or parasitic diseases
Canavan disease,"Endocrine, nutritional or metabolic diseases"
Cardiovascular disease,Diseases of the circulatory system
Chagas disease,Certain infectious or parasitic diseases
Charcot-Marie-Tooth disease,Diseases of the nervous system
Charcot-Marie-Tooth type 1A,Developmental anomalies
Choroideremia,Diseases of the visual system
Chromosomal mosaicism,Developmental anomalies
Chronic granulomatous disease,Diseases of the immune system
Chronic lymphocytic leukemia,Neoplasms
Chronic obstructive pulmonary disease,Diseases of the respiratory system
Cockayne syndrome,Diseases of the skin
Coeliac disease,Diseases of the digestive system
Colon adenocarcinoma,Neoplasms
Complex diseases,Diseases of the digestive system
Crohn's disease,Diseases of the digestive system
Cystic fibrosis,"Endocrine, nutritional or metabolic diseases"
Dementia,"Mental, behavioural or neurodevelopmental disorders"
Diffuse large B-cell lymphoma,Neoplasms
Dihydropyrimidine dehydrogenase deficiency,Diseases of the blood or blood-forming organs
Down syndrome,Diseases of the skin
Duchenne muscular dystrophy,Diseases of the nervous system
Ductal carcinoma in situ (DCIS),Neoplasms
Dystrophinopathy,Diseases of the nervous system
Epithelial ovarian cancer,Neoplasms
Esophageal squamous cell carcinoma,Neoplasms
Facioscapulohumeral muscular dystrophy,Diseases of the nervous system
