Disease,Top_Class
ALS with other neurological disorder,Diseases of the nervous system
Adult T-cell leukemia/lymphoma (ATLL),Neoplasms
Aicardi-Goutières syndrome (AGS),"Endocrine, nutritional or metabolic diseases"
Alcohol-related liver disease,Diseases of the digestive system
Alveolar capillary dysplasia with misalignment of pulmonary veins (ACDMPV),Diseases of the respiratory system
Androgen Insensitivity Syndrome (AIS),Developmental anomalies
Asthenozoospermia,Diseases of the genitourinary system
Atypical teratoid/rhabdoid tumors (ATRTs),Neoplasms
Autism spectrum disorder (ASD),"Mental, behavioural or neurodevelopmental disorders"
Azoospermia with meiotic arrest,Diseases of the genitourinary system
B-acute lymphoblastic leukemia with KMT2A rearrangement,Neoplasms
Brainstem atrophy,Diseases of the nervous system
C9orf72 ALS/FTLD,"Mental, behavioural or neurodevelopmental disorders"
C9orf72 gene-mutated ALS,Diseases of the nervous system
C9orf72-mediated frontotemporal dementia,"Mental, behavioural or neurodevelopmental disorders"
CAR T-cell lymphoma,Neoplasms
CNS neuroblastoma,Neoplasms
Carcinogenesis,Neoplasms
Castration-resistant prostate cancer,Neoplasms
Charcot-Marie-Tooth syndrome,Diseases of the nervous system
Chromothripsis,Developmental anomalies
Desmoplastic small round cell tumor,Neoplasms
Duchenne/Becker muscular dystrophy (DMD/BMD),Diseases of neuromuscular junction or muscle
EBV-associated gastric cancer,Neoplasms
Early pregnancy loss (EPL),"Pregnancy, childbirth or the puerperium"
Epstein-Barr virus-associated gastric cancer,Neoplasms
Fanconi anemia neuroinflammatory syndrome (FANS),Diseases of the blood or blood-forming organs
First trimester miscarriage,"Pregnancy, childbirth or the puerperium"
Frontotemporal lobar degeneration (FTLD),"Mental, behavioural or neurodevelopmental disorders"
H3 K27M-mutant diffuse midline gliomas,Neoplasms
H3 K27M-mutant diffuse midline glioma,Neoplasms
HBV-associated HCC,Neoplasms
HIV-1 infection,Certain infectious or parasitic diseases
HIV-associated neurocognitive disorder,"Mental, behavioural or neurodevelopmental disorders"
HIV-associated neurocognitive disorder (HAND),"Mental, behavioural or neurodevelopmental disorders"
HPV-associated cancer,Neoplasms
HTLV-1-associated myelopathy/tropical spastic paraparesis (HAM/TSP),Diseases of the nervous system
Heavy-metal carcinogenesis,Neoplasms
High-grade glioma,Neoplasms
Hormone-receptor-negative breast cancer,Neoplasms
Human male infertility,Diseases of the genitourinary system
Hutchinson-Gilford progeria syndrome,Developmental anomalies
IFN-based autoimmune diseases,Diseases of the immune system
Inherited retinal diseases (IRDs),Diseases of the visual system
Kagami-Ogata syndrome,Developmental anomalies
Kaposi's sarcoma-associated herpesvirus-related malignancies,Neoplasms
Long COVID-19,Certain infectious or parasitic diseases
Low-grade glioma,Neoplasms
Lynch syndrome,Neoplasms
methamphetamine abuse-induced memory impairment,"Mental, behavioural or neurodevelopmental disorders"
MSLN-positive solid tumors,Neoplasms
Metabolic dysfunction-associated steatotic liver disease,Diseases of the digestive system
Mixed fibrolamellar hepatocellular carcinoma,Neoplasms
Monogenic disease,others
Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,Diseases of the nervous system
Myeloproliferative neoplasms,Neoplasms
NF1 deletion,Developmental anomalies
NF1 mutations,Developmental anomalies
NF1 mutation-associated disease,Developmental anomalies
NKX2-1-related disorder,"Endocrine, nutritional or metabolic diseases"
Neurodegenerative conditions,Diseases of the nervous system
Neurodevelopmental diseases,"Mental, behavioural or neurodevelopmental disorders"
Neuropsychiatric conditions,Diseases of the nervous system
Normal aging,others
Oligozoospermia,Diseases of the genitourinary system
Opioid physical dependence,"Mental, behavioural or neurodevelopmental disorders"
Partial Androgen Insensitivity Syndrome (PAIS),Developmental anomalies
Persistent postoperative pain,"Symptoms, signs or clinical findings, not elsewhere classified"
Philadelphia chromosome-positive acute lymphoblastic leukemia,Neoplasms
Prader-Willi syndrome (PWS),Developmental anomalies
Pseudohypoparathyroidism type 1B (PHP1B),"Endocrine, nutritional or metabolic diseases"
Pure fibrolamellar hepatocellular carcinoma,Neoplasms
Recurrent pregnancy loss (RPL),Diseases of the genitourinary system
SARS-CoV-2 infection,Certain infectious or parasitic diseases
Sarcomatoid renal cell carcinoma,Neoplasms
Scrapie,Diseases of the nervous system
Small bowel adenocarcinoma,Neoplasms
Temporal lobe epilepsy (TLE),Diseases of the nervous system
Temple syndrome,Developmental anomalies
Triple-negative breast cancer,Neoplasms
Uterine corpus endometrial carcinoma (UCEC),Neoplasms
X-linked Kallmann syndrome,"Endocrine, nutritional or metabolic diseases"
X-linked dystonia parkinsonism (XDP),Diseases of the nervous system
"X-linked dystonia-parkinsonism (XDP, DYT3)",Diseases of the nervous system
X-linked retinitis pigmentosa,Diseases of the visual system
X-linked retinitis pigmentosa 2,Diseases of the visual system
addiction-related diseases,"Mental, behavioural or neurodevelopmental disorders"
adriamycin cardiomyopathy,Diseases of the circulatory system
age-related disorders,others
aging-related inflammation,others
anti-tuberculosis drug-induced liver injury,Diseases of the immune system
autoimmune blistering disease,Diseases of the skin
cancer progression,Neoplasms
cell transformation,Neoplasms
cerebral ischemia-reperfusion injury,Diseases of the nervous system
chemoresistance,"Symptoms, signs or clinical findings, not elsewhere classified"
chronic human illness,others
clear cell renal cell carcinoma,Neoplasms
colitis-associated cancer,Neoplasms
colorectal tumourigenesis,Neoplasms
cutaneous T-cell lymphomas (CTCL),Neoplasms
de novo genetic diseases,others
de novo mutation-associated disease,others
disease-causing insertions,others
diseases of reproductive systems,Diseases of the genitourinary system
diseases of visual system dysfunction,Diseases of the visual system
disturbed spermatogenesis,Diseases of the genitourinary system
drug tolerance,"Symptoms, signs or clinical findings, not elsewhere classified"
early spontaneous miscarriage,"Pregnancy, childbirth or the puerperium"
endometriosis associated ovarian cancers,Neoplasms
familial ALS,Diseases of the nervous system
familial colorectal cancer type X,Neoplasms
gastric signet-ring cell carcinoma,Neoplasms
genomic disorders,others
hereditary breast and ovarian cancer syndrome (HBOC),Neoplasms
heritable disease,others
high-grade gliomas,Neoplasms
human genetic disease,others
human lung cancer,Neoplasms
human ovarian carcinomas,Neoplasms
human pathogenesis,others
human retroelement insertion-induced disease,others
idiopathic temporal lobe epilepsy,Diseases of the nervous system
inherited genetic diseases,others
inherited human diseases,others
insertional mutagenesis,others
kinky tail phenotype,"Endocrine, nutritional or metabolic diseases"
late-onset AD,Diseases of the nervous system
lung metastatic melanoma,Neoplasms
mammalian aging,others
metastatic peritoneal carcinoma,Neoplasms
more than 100 different diseases,others
muscle-invasive bladder cancer,Neoplasms
myeloid malignancies,Neoplasms
myeloid tumors,Neoplasms
neurodegenerative diseases of the motor neuron,Diseases of the nervous system
neurogenetic disease,others
neurological and psychiatric diseases,others
neuropsychiatric diseases,others
non-obstructive azoospermia,Diseases of the genitourinary system
oncogenesis,Neoplasms
oncological diseases,Neoplasms
pediatric germ cell tumors,Neoplasms
pediatric malignant germ cell tumor,Neoplasms
pediatric systemic lupus erythematosus,Diseases of the immune system
pre-symptomatic dementia (PSD),"Mental, behavioural or neurodevelopmental disorders"
premature chromatid separation (PCS)/mosaic variegated aneuploidy (MVA) syndrome,Developmental anomalies
psychiatric diseases,others
radiation-associated tumors,Neoplasms
refractory Philadelphia chromosome-positive acute lymphoblastic leukemia,Neoplasms
repeat expansion diseases,others
retinitis pigmentosa-2,Diseases of the visual system
senescence-associated diseases,others
serous tubal intraepithelial carcinoma (STIC),Neoplasms
serous tubal intraepithelial carcinomas (STICs),Neoplasms
single-gene disease,others
single-gene diseases,others
spontaneous genetic diseases,others
sporadic ALS,Diseases of the nervous system
sporadic genetic diseases,others
tumor progression,Neoplasms
Tumorigenesis,Neoplasms
type 2 diabetes (T2D),"Endocrine, nutritional or metabolic diseases"
various severe diseases,others
well-differentiated liposarcoma,Neoplasms
α1-antitrypsin deficiency,"Endocrine, nutritional or metabolic diseases"
β-thalassemia,Diseases of the blood or blood-forming organs
central nervous system neuroblastoma,Neoplasms
human embryonic developmental abnormality,Developmental anomalies
human retrotransposon insertion-induced disease,others
