full_name	title	description	hyperlink	count	repeatmasker_type	repeatmasker_subtype	repbase_equiv	wicker_equiv	curcio_derbyshire_equiv	piegu_equiv
Accidental	Accidental/spontaneous integration events.									
Accidental;Normally_Non-integrating_Virus	Virus families that are more likely the result of spontaneous integration rather than Retrotranposition. 			25	Other	DNA_virus				
Artifact	Elements often found in cloning vectors that may contaminate sequencing projects.			43	ARTEFACT					
Interspersed_Repeat	A repetitive sequence with copies interspersed throughout an organisms genome.									
Interspersed_Repeat;Pseudogene	Duplications of existing genes in an organism.									
Interspersed_Repeat;Pseudogene;RNA	Non-translated, small RNA genes often found in high copy number.	Related genes are included		17	RNA					
Interspersed_Repeat;Pseudogene;RNA;rRNA	Copies of a ribosomal RNA (rRNA) gene or pseudogene.			4969	rRNA					
Interspersed_Repeat;Pseudogene;RNA;scRNA				75	scRNA					
Interspersed_Repeat;Pseudogene;RNA;snRNA	Copies of a small nuclear RNA (snRNA) gene or pseudogene.	Small nuclear RNAs include 7SK RNA and the U1 to U13. They are dependent on external promoters and are theferore much less frequently involved in the creation of a SINE		2369	snRNA					
Interspersed_Repeat;Pseudogene;RNA;tRNA	Copies of a transfer RNA (tRNA) gene or pseudogene.	In mammals,  tRNAs copies can occur in relatively large numbers (up to a thousand copies) The boundary between a large number of accidentally retroposed or otherwise duplicated (pseudo)genes and a low copy number SINE (selected on its ability to propagate) is nebulous		8301	tRNA					
Interspersed_Repeat;Transposable_Element	Families that are the direct result of transposition events.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition	Elements that do not require an RNA intermediate in their transposition lifecycle.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase										
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Casposon	Archaeal and bacterial mobile elements at the origin of CRISPR-Cas immunity.	PMID 24884953, 26764427	https://www.ncbi.nlm.nih.gov/pubmed/?term=24884953		DNA	Casposons				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Maverick				17459	DNA	Maverick	DNA/Polinton	D/M (Maverick)/M (Maverick)		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;DNA_Polymerase;Maverick;Maverick-Mavirus		Maverick-Mavirus			DNA	Maverick-Mavirus	DNA/Polinton	D/M (Maverick)/M (Maverick)		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase	Circular ssDNA Intermediate.	Circular ssDNA Intermediate			RC		DNA	D/H/H		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helentron				1	RC	Helentron	DNA/Helentron			
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-1				115883	RC	Helitron	DNA/Helitron	D/H/H (Helitron)	Y2-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Helicase;Helitron-2				83	RC	Helitron-2	DNA/Helitron	D/H/H (Helitron)	Y2-transposons	
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase	DNA transposons with terminal inverted repeats ranging from 6 bp to many kb.	Autonomous elements have a DD(E/D) transposase. Most DNA transposons fall in this class. Some non-autonomous elements, hairpin		68854	DNA		DNA	D		
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ	Academ superfamily of  DNA transposons.	Found in metazoans and fungi, autonomous Academ elements encode a ca 1.5 kb protein containing an XPG exonuclease domain, a Cys8 zinc finger, and a DDE transposase domain unlike those of others. Termini tend to be TAGÃCTA and a 3 bp target site is duplicated.								
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-1	First described family of Academ DNA transposon.			10566	DNA	Academ-1	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-2	Second described family of Academ DNA transposon.			290	DNA	Academ-2	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;Academ;Academ-H	Family of Academ transposons described in rust fungi.			105	DNA	Academ-H	DNA/Academ	D/T (TIR)	DDE-transposons	DDE-transposons/CutOPasI/Academ
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA	A group of DNA transposons with characteristic CACTAâ¦TAGTG termini.									
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC	CACTA (EnSpm), Mirage, Chapaev group with related DNA transposons.			48	DNA	CMC				
Interspersed_Repeat;Transposable_Element;Class_II_DNA_Transposition;Transposase;CACTA;CMC;Chapaev_group	Superfamily including  Chapaev and Chapaev-3 elements.									
