child,parent,relation,child_tree_label,parent_tree_label
ERVL,HERV,SUBFAMILY_OF,ERVL,HERV (Human Endogenous Retrovirus)
HARLEQUIN,HERV,SUBFAMILY_OF,HARLEQUIN,HERV (Human Endogenous Retrovirus)
HERV-Fc1,HERV,SUBFAMILY_OF,HERV-Fc1,HERV (Human Endogenous Retrovirus)
HERV-K14CI,HERV,SUBFAMILY_OF,HERV-K14CI,HERV (Human Endogenous Retrovirus)
HERV-K14I,HERV,SUBFAMILY_OF,HERV-K14I,HERV (Human Endogenous Retrovirus)
HERV17,HERV,SUBFAMILY_OF,HERV17,HERV (Human Endogenous Retrovirus)
HERV18,HERV,SUBFAMILY_OF,HERV18,HERV (Human Endogenous Retrovirus)
HERV1_I-int,HERV,SUBFAMILY_OF,HERV1_I-int,HERV (Human Endogenous Retrovirus)
HERV1_LTRc,HERV,SUBFAMILY_OF,HERV1_LTRc,HERV (Human Endogenous Retrovirus)
HERV9,HERV,SUBFAMILY_OF,HERV9,HERV (Human Endogenous Retrovirus)
HERV9-int,HERV,SUBFAMILY_OF,HERV9-int,HERV (Human Endogenous Retrovirus)
HERV9N-int,HERV,SUBFAMILY_OF,HERV9N-int,HERV (Human Endogenous Retrovirus)
HERVE,HERV,SUBFAMILY_OF,HERVE,HERV (Human Endogenous Retrovirus)
HERVE-int,HERV,SUBFAMILY_OF,HERVE-int,HERV (Human Endogenous Retrovirus)
HERVH-int,HERV,SUBFAMILY_OF,HERVH-int,HERV (Human Endogenous Retrovirus)
HERVI-int,HERV,SUBFAMILY_OF,HERVI-int,HERV (Human Endogenous Retrovirus)
HERVK,HERV,SUBFAMILY_OF,HERVK,HERV (Human Endogenous Retrovirus)
HERVK-int,HERV,SUBFAMILY_OF,HERVK-int,HERV (Human Endogenous Retrovirus)
HERVK22-int,HERV,SUBFAMILY_OF,HERVK22-int,HERV (Human Endogenous Retrovirus)
HERVKC4-int,HERV,SUBFAMILY_OF,HERVKC4-int,HERV (Human Endogenous Retrovirus)
HERVL,HERV,SUBFAMILY_OF,HERVL,HERV (Human Endogenous Retrovirus)
HERVL-int,HERV,SUBFAMILY_OF,HERVL-int,HERV (Human Endogenous Retrovirus)
HERVL18-int,HERV,SUBFAMILY_OF,HERVL18-int,HERV (Human Endogenous Retrovirus)
HuRRS-P,HERV,SUBFAMILY_OF,HURRS-P,HERV (Human Endogenous Retrovirus)
LTR10A,HERV,SUBFAMILY_OF,LTR10A,HERV (Human Endogenous Retrovirus)
LTR10B,HERV,SUBFAMILY_OF,LTR10B,HERV (Human Endogenous Retrovirus)
LTR12,HERV,SUBFAMILY_OF,LTR12,HERV (Human Endogenous Retrovirus)
LTR12C,HERV,SUBFAMILY_OF,LTR12C,HERV (Human Endogenous Retrovirus)
LTR12D,HERV,SUBFAMILY_OF,LTR12D,HERV (Human Endogenous Retrovirus)
LTR13,HERV,SUBFAMILY_OF,LTR13,HERV (Human Endogenous Retrovirus)
LTR15,HERV,SUBFAMILY_OF,LTR15,HERV (Human Endogenous Retrovirus)
LTR16B,HERV,SUBFAMILY_OF,LTR16B,HERV (Human Endogenous Retrovirus)
LTR18A,HERV,SUBFAMILY_OF,LTR18A,HERV (Human Endogenous Retrovirus)
LTR1A1,HERV,SUBFAMILY_OF,LTR1A1,HERV (Human Endogenous Retrovirus)
LTR2,HERV,SUBFAMILY_OF,LTR2,HERV (Human Endogenous Retrovirus)
LTR22,HERV,SUBFAMILY_OF,LTR22,HERV (Human Endogenous Retrovirus)
LTR3,HERV,SUBFAMILY_OF,LTR3,HERV (Human Endogenous Retrovirus)
LTR5,HERV,SUBFAMILY_OF,LTR5,HERV (Human Endogenous Retrovirus)
LTR7,HERV,SUBFAMILY_OF,LTR7,HERV (Human Endogenous Retrovirus)
LTR70,HERV,SUBFAMILY_OF,LTR70,HERV (Human Endogenous Retrovirus)
LTR78,HERV,SUBFAMILY_OF,LTR78,HERV (Human Endogenous Retrovirus)
LTR7A,HERV,SUBFAMILY_OF,LTR7A,HERV (Human Endogenous Retrovirus)
LTR7B,HERV,SUBFAMILY_OF,LTR7B,HERV (Human Endogenous Retrovirus)
LTR7C,HERV,SUBFAMILY_OF,LTR7C,HERV (Human Endogenous Retrovirus)
LTR7Y,HERV,SUBFAMILY_OF,LTR7Y,HERV (Human Endogenous Retrovirus)
LTR8B,HERV,SUBFAMILY_OF,LTR8B,HERV (Human Endogenous Retrovirus)
MER11A,HERV,SUBFAMILY_OF,MER11A,HERV (Human Endogenous Retrovirus)
MER11B,HERV,SUBFAMILY_OF,MER11B,HERV (Human Endogenous Retrovirus)
MER11C,HERV,SUBFAMILY_OF,MER11C,HERV (Human Endogenous Retrovirus)
MER21C,HERV,SUBFAMILY_OF,MER21C,HERV (Human Endogenous Retrovirus)
MER39,HERV,SUBFAMILY_OF,MER39,HERV (Human Endogenous Retrovirus)
MER48,HERV,SUBFAMILY_OF,MER48,HERV (Human Endogenous Retrovirus)
MER49,HERV,SUBFAMILY_OF,MER49,HERV (Human Endogenous Retrovirus)
MER50,HERV,SUBFAMILY_OF,MER50,HERV (Human Endogenous Retrovirus)
MER51A,HERV,SUBFAMILY_OF,MER51A,HERV (Human Endogenous Retrovirus)
MER51B,HERV,SUBFAMILY_OF,MER51B,HERV (Human Endogenous Retrovirus)
MER52A,HERV,SUBFAMILY_OF,MER52A,HERV (Human Endogenous Retrovirus)
MER57E3,HERV,SUBFAMILY_OF,MER57E3,HERV (Human Endogenous Retrovirus)
MLT1A,HERV,SUBFAMILY_OF,MLT1A,HERV (Human Endogenous Retrovirus)
MLT1A1,HERV,SUBFAMILY_OF,MLT1A1,HERV (Human Endogenous Retrovirus)
MLT1F1,HERV,SUBFAMILY_OF,MLT1F1,HERV (Human Endogenous Retrovirus)
MLT1H,HERV,SUBFAMILY_OF,MLT1H,HERV (Human Endogenous Retrovirus)
MLT2A1,HERV,SUBFAMILY_OF,MLT2A1,HERV (Human Endogenous Retrovirus)
MLT2A2,HERV,SUBFAMILY_OF,MLT2A2,HERV (Human Endogenous Retrovirus)
MLT2B3,HERV,SUBFAMILY_OF,MLT2B3,HERV (Human Endogenous Retrovirus)
MSTD,HERV,SUBFAMILY_OF,MSTD,HERV (Human Endogenous Retrovirus)
THE1,HERV,SUBFAMILY_OF,THE1,HERV (Human Endogenous Retrovirus)
THE1A,HERV,SUBFAMILY_OF,THE1A,HERV (Human Endogenous Retrovirus)
THE1B,HERV,SUBFAMILY_OF,THE1B,HERV (Human Endogenous Retrovirus)
THE1C,HERV,SUBFAMILY_OF,THE1C,HERV (Human Endogenous Retrovirus)
LTR5_Hs,LTR5,SUBFAMILY_OF,LTR5_Hs (HERV-K LTR),LTR5
LTR5A,LTR5,SUBFAMILY_OF,LTR5A,LTR5
LTR5B,LTR5,SUBFAMILY_OF,LTR5B,LTR5
