te_name	has_hg38_instance	instance_count	evidence_count
AluYa5	1	3867	66030
AluYb10	0	0	0
AluYb11	0	0	0
AluYb8	1	2839	49161
AluYb8a1	0	0	0
AluYb9	1	329	3639
AluYk13	0	0	0
AmnSINE1_HS	0	0	0
CHARLIE10	0	0	0
CHARLIE2A	0	0	0
CHARLIE2B	0	0	0
CHARLIE3	0	0	0
CHARLIE5	0	0	0
CHARLIE6	0	0	0
CHARLIE7	0	0	0
CHARLIE8	0	0	0
CHARLIE9	0	0	0
CHESHIRE	0	0	0
CHESHIRE_A	0	0	0
CHESHIRE_B	0	0	0
CR1_HS	0	0	0
ERV3-16A3_I	0	0	0
ERVL	0	0	0
FORDPREFECT	0	0	0
FORDPREFECT_A	0	0	0
GOLEM_A	0	0	0
GOLEM_C	0	0	0
HARLEQUIN	0	0	0
HERV-K14CI	0	0	0
HERV-K14I	0	0	0
HERV18	0	0	0
HERV1_LTR	0	0	0
HERV4_I	0	0	0
HERV9	0	0	0
HERVI	0	0	0
HERVL	0	0	0
HSMAR1	1	713	13526
HSMAR2	1	1786	25623
HSTC2	0	0	0
IN25	0	0	0
KANGA2_A	0	0	0
L1HS	1	1620	34217
L1MA1	1	4207	112575
L1MA2	1	7489	157989
L1MA3	1	8817	191752
L1MA4	1	9948	141408
L1MA5	1	4389	73007
L1MC1	1	12883	194915
L1MC4	1	24808	293469
L1MD1	1	6689	116759
L1MD3	1	5240	51474
L1MDB_5	0	0	0
L1PA10	1	7007	225390
L1PA11	1	4086	122725
L1PA12	1	1756	58182
L1PA12_5	0	0	0
L1PA13	1	8829	264249
L1PA13_5	0	0	0
L1PA14	1	3037	72661
L1PA14_5	0	0	0
L1PA15	1	8220	175391
L1PA16	1	13883	223078
L1PA16_5	0	0	0
L1PA17_5	0	0	0
L1PA2	1	4940	228149
L1PA3	1	10757	687644
L1PA4	1	11834	807238
L1PA5	1	11228	648059
L1PA6	1	5887	523776
L1PA7	1	12978	528904
L1PA7_5	0	0	0
L1PA8	1	8047	203064
L1PB1	1	12936	347081
L1PB2	1	2817	61341
L1PB3	1	3507	64885
L1PB4	1	7404	89005
L1PREC2	1	7721	192012
L3	1	45102	209836
LOOPER	0	0	0
LOR1	0	0	0
LTR06	1	101	1213
LTR1	1	239	2865
LTR10B	1	70	1742
LTR10F	1	432	10691
LTR11	0	0	0
LTR12C	1	2638	305587
LTR12D	1	481	20654
LTR13	1	473	79879
LTR13A	1	188	16845
LTR14	1	86	4366
LTR14C	1	137	4119
LTR15	1	264	9527
LTR16	1	3013	22281
LTR17	1	833	21622
LTR18A	1	198	1961
LTR19A	1	435	12498
LTR2	1	848	27644
LTR23	1	834	7207
LTR24	1	309	2694
LTR25	1	284	4469
LTR26	1	601	8480
LTR27	1	105	2588
LTR2752	1	223	4357
LTR28	1	159	1488
LTR29	1	718	4704
LTR3	1	86	10123
LTR30	1	140	13605
LTR31	1	240	2262
LTR32	1	1225	10851
LTR34	1	260	2749
LTR35	1	107	771
LTR36	1	468	5634
LTR37A	1	1979	11090
LTR37B	1	2006	8947
LTR38	1	233	2377
LTR39	1	1215	39753
LTR4	1	100	6975
LTR41	1	1139	17842
LTR42	1	287	8935
LTR43	1	397	16708
LTR44	1	209	3421
LTR45	1	173	1686
LTR46	1	249	7159
LTR48	1	956	8023
LTR49	1	1473	11441
LTR5	1	26	262
LTR50	1	2569	17664
LTR51	1	407	3321
LTR52	1	1068	6322
LTR53	1	502	5486
LTR55	1	410	3298
LTR57	1	249	4598
LTR58	1	75	742
LTR59	1	109	2570
LTR5B	1	442	40296
LTR60	1	45	563
LTR61	1	156	7064
LTR62	1	316	4988
LTR64	1	364	6629
LTR65	1	451	5801
LTR66	1	386	6831
LTR69	1	140	978
LTR70	1	151	15142
LTR71A	1	165	2208
LTR71B	1	216	13662
LTR72	1	150	1803
LTR73	1	205	2676
LTR75	1	287	3549
LTR76	1	195	6655
LTR77	1	102	1026
LTR78B	1	3082	16321
LTR7A	1	15	68
LTR7B	1	823	15075
LTR7C	1	314	7528
LTR8	1	3374	60268
LTR81AB	1	262	744
LTR8B	1	1600	23801
LTR9	1	795	16430
LTR91	1	331	770
LTR9B	1	678	10513
MADE1	1	7840	12847
MARNA	1	3171	13239
MER101	1	364	4839
MER103B	0	0	0
MER103C	1	8589	30601
MER106	0	0	0
MER107	1	335	1506
MER110	1	766	2493
MER112	1	4216	20753
MER113	1	3753	16329
MER117	1	4068	13206
MER119	1	1201	8662
MER11A	1	947	65177
MER11C	1	904	74586
MER11D	1	261	9678
MER1A	1	3214	55823
MER1B	1	5311	92393
MER20	1	16593	109212
MER21	0	0	0
MER28	0	0	0
MER30B	1	223	1539
MER31	0	0	0
MER33	1	9464	60728
MER34	1	1293	7526
MER39	1	3311	24362
MER44A	1	2300	20643
MER44B	1	2138	18339
MER44C	1	855	14682
MER45	0	0	0
MER48	1	192	5140
MER50	1	2496	28144
MER51A	1	932	16239
MER51B	1	711	8014
MER52A	1	1370	48310
MER53	1	5768	14239
MER54	0	0	0
MER5B	1	24687	85665
MER61	0	0	0
MER63A	1	3432	14716
MER63B	1	2343	10756
MER63D	1	1708	7573
MER68B	1	453	4855
MER68C	1	161	959
MER69C	0	0	0
MER6B	1	674	4389
MER70A	1	525	5675
MER70B	1	453	7384
MER70C	1	274	2291
MER72	1	777	12349
MER73	1	279	4382
MER74B	1	923	18301
MER74C	1	231	2073
MER75	1	479	4559
MER75B	1	115	983
MER76	1	720	6149
MER77	1	1326	13858
MER8	1	1924	17592
MER80B	0	0	0
MER81	1	3542	9251
MER83	1	441	13476
MER84	1	345	4402
MER85	1	909	3402
MER87	1	161	1287
MER88	1	111	937
MER89	1	1365	11050
MER9	0	0	0
MER90	1	658	8297
MER91A	1	3408	12594
MER91C	1	1595	3896
MER92A	1	153	256
MER92B	1	811	11401
MER94	1	4440	9993
MER95	1	138	1204
MER96	1	1260	3866
MER97A	0	0	0
MER97B	0	0	0
MER97C	0	0	0
MER99	1	292	2566
MLT1G	1	2751	22388
MLT1H	1	9942	65262
MLT1I	1	10807	51841
MLT1K	1	17291	91756
MLT1L	1	11731	62174
MLT1N2	1	5471	33730
MLT2A1	1	3728	28790
MLT2A2	1	3845	35143
MLT2C2	1	1321	6598
MLT2D	1	4394	28575
MSTB	1	8487	84847
MSTD	1	7553	67241
Merlin1_HS	1	60	958
PABL_A	1	520	12143
PABL_B	1	363	6528
PRIMA41	0	0	0
PRIMA4_I	0	0	0
PRIMAX_I	0	0	0
PTR5	0	0	0
PrimLTR79	1	135	1045
Retroposon-1_HS	0	0	0
SVA_A	1	1065	40473
SVA_B	1	794	70289
SVA_C	1	448	83040
SVA_D	1	1454	241071
SVA_E	1	664	9313
SVA_F	1	972	44610
THE1A	1	4203	41817
THE1C	1	9771	81495
TIGGER1	0	0	0
TIGGER2	0	0	0
TIGGER5	0	0	0
TIGGER6B	0	0	0
TIGGER7	0	0	0
TIGGER8	0	0	0
TIGGER9	0	0	0
ZAPHOD	0	0	0
ZOMBI_A	0	0	0
