"version","tissue","source_associations","instance_evidence_rows","te_gene_tissue_rows","unique_variants_with_overlap","unique_te_instances_with_evidence"
"gtex_v11_strict_te_overlap_v1","Adipose_Subcutaneous","3909847","407627","119452","204106","78070"
"gtex_v11_strict_te_overlap_v1","Adipose_Visceral_Omentum","2724293","281248","84769","152644","60519"
"gtex_v11_strict_te_overlap_v1","Adrenal_Gland","1421365","147245","47356","90587","38160"
"gtex_v11_strict_te_overlap_v1","Artery_Aorta","2731586","282233","86399","153151","61500"
"gtex_v11_strict_te_overlap_v1","Artery_Coronary","1108711","112734","37447","71950","30969"
"gtex_v11_strict_te_overlap_v1","Artery_Tibial","3834263","399714","118091","204124","78492"
"gtex_v11_strict_te_overlap_v1","Bladder","156209","13802","4725","9939","4573"
"gtex_v11_strict_te_overlap_v1","Brain_Amygdala","718656","70953","24532","50678","22638"
"gtex_v11_strict_te_overlap_v1","Brain_Anterior_cingulate_cortex_BA24","1188732","117924","39898","78423","33894"
"gtex_v11_strict_te_overlap_v1","Brain_Caudate_basal_ganglia","1773520","177615","58320","108736","45766"
"gtex_v11_strict_te_overlap_v1","Brain_Cerebellar_Hemisphere","2298505","228562","74461","123260","51439"
"gtex_v11_strict_te_overlap_v1","Brain_Cerebellum","2273464","225457","73431","121950","50780"
"gtex_v11_strict_te_overlap_v1","Brain_Cortex","1734645","173901","57591","108448","45310"
"gtex_v11_strict_te_overlap_v1","Brain_Frontal_Cortex_BA9","1689173","173073","56560","108769","45281"
"gtex_v11_strict_te_overlap_v1","Brain_Hippocampus","1140856","113522","38163","75085","32294"
"gtex_v11_strict_te_overlap_v1","Brain_Hypothalamus","1214183","121520","40581","78693","33674"
"gtex_v11_strict_te_overlap_v1","Brain_Nucleus_accumbens_basal_ganglia","1742334","176563","57400","108050","45232"
"gtex_v11_strict_te_overlap_v1","Brain_Putamen_basal_ganglia","1328562","131610","44614","86292","37179"
"gtex_v11_strict_te_overlap_v1","Brain_Spinal_cord_cervical_c-1","1029828","104394","34993","70638","30468"
"gtex_v11_strict_te_overlap_v1","Brain_Substantia_nigra","694393","70371","23990","49816","22039"
"gtex_v11_strict_te_overlap_v1","Breast_Mammary_Tissue","2354792","241874","74302","133169","53518"
"gtex_v11_strict_te_overlap_v1","Cells_Cultured_fibroblasts","4017302","409429","124656","214942","82803"
"gtex_v11_strict_te_overlap_v1","Cells_EBV-transformed_lymphocytes","1892622","188148","60506","105296","43738"
"gtex_v11_strict_te_overlap_v1","Colon_Sigmoid","2215312","221834","70379","125839","51635"
"gtex_v11_strict_te_overlap_v1","Colon_Transverse","2383407","241848","74915","133477","53668"
"gtex_v11_strict_te_overlap_v1","Esophagus_Gastroesophageal_Junction","2161974","217592","68581","121874","50026"
"gtex_v11_strict_te_overlap_v1","Esophagus_Mucosa","3345320","341512","102257","176958","69360"
"gtex_v11_strict_te_overlap_v1","Esophagus_Muscularis","3214191","326366","99126","171064","67598"
"gtex_v11_strict_te_overlap_v1","Heart_Atrial_Appendage","2256771","231456","71706","133128","54293"
"gtex_v11_strict_te_overlap_v1","Heart_Left_Ventricle","1751339","173594","54867","106105","44312"
"gtex_v11_strict_te_overlap_v1","Kidney_Cortex","237485","22712","8174","17404","8112"
"gtex_v11_strict_te_overlap_v1","Liver","974956","96924","31849","62746","27204"
"gtex_v11_strict_te_overlap_v1","Lung","3128405","322007","95906","166972","65320"
"gtex_v11_strict_te_overlap_v1","Minor_Salivary_Gland","741449","73960","25195","50063","22273"
"gtex_v11_strict_te_overlap_v1","Muscle_Skeletal","3211441","320491","97885","171266","68004"
"gtex_v11_strict_te_overlap_v1","Nerve_Tibial","4823433","504017","147778","242672","91098"
"gtex_v11_strict_te_overlap_v1","Ovary","786481","76385","26308","49475","21880"
"gtex_v11_strict_te_overlap_v1","Pancreas","1770006","177112","56595","108612","44963"
"gtex_v11_strict_te_overlap_v1","Pituitary","1961412","202129","63394","113193","46317"
"gtex_v11_strict_te_overlap_v1","Prostate","1330644","135205","43728","83186","34871"
"gtex_v11_strict_te_overlap_v1","Skin_Not_Sun_Exposed_Suprapubic","3657540","373400","111258","189448","73651"
"gtex_v11_strict_te_overlap_v1","Skin_Sun_Exposed_Lower_leg","4419217","449854","132677","220244","83962"
"gtex_v11_strict_te_overlap_v1","Small_Intestine_Terminal_Ileum","878192","89525","29770","57179","24834"
"gtex_v11_strict_te_overlap_v1","Spleen","1839993","185104","60135","108574","45417"
"gtex_v11_strict_te_overlap_v1","Stomach","1656382","166409","52904","99721","41460"
"gtex_v11_strict_te_overlap_v1","Testis","4352993","472813","147394","255782","98569"
"gtex_v11_strict_te_overlap_v1","Thyroid","4730105","487868","142270","230535","87312"
"gtex_v11_strict_te_overlap_v1","Uterus","498962","46488","16534","32005","14406"
"gtex_v11_strict_te_overlap_v1","Vagina","511803","49928","17190","34285","15325"
"gtex_v11_strict_te_overlap_v1","Whole_Blood","3084753","300410","89737","156591","61873"
