label,count,source_note
Function,3683,home_stats_api_excluding_paper_nodes
Gene,1280,home_stats_api_excluding_paper_nodes
Protein,1089,home_stats_api_excluding_paper_nodes
Disease category,767,home_stats_api_excluding_paper_nodes
Disease,676,home_stats_api_excluding_paper_nodes
RNA,588,home_stats_api_excluding_paper_nodes
Mutation,377,home_stats_api_excluding_paper_nodes
Pharmaceutical,293,home_stats_api_excluding_paper_nodes
Transposable element,225,home_stats_api_excluding_paper_nodes
Toxin,67,home_stats_api_excluding_paper_nodes
Lipid,26,home_stats_api_excluding_paper_nodes
Peptide,23,home_stats_api_excluding_paper_nodes
Carbohydrate,12,home_stats_api_excluding_paper_nodes
Non-human TE,1,home_stats_api_excluding_paper_nodes
