label,count,source_note
regulate,717,neo4j_raw_bio_relation_predicate_specific_display
lead to,659,neo4j_raw_bio_relation_predicate_specific_display
express,612,neo4j_raw_bio_relation_predicate_specific_display
inhibit,589,neo4j_raw_bio_relation_predicate_specific_display
affect,546,neo4j_raw_bio_relation_predicate_specific_display
mediate,439,neo4j_raw_bio_relation_predicate_specific_display
encode,337,neo4j_raw_bio_relation_predicate_specific_display
interact with,326,neo4j_raw_bio_relation_predicate_specific_display
promote,326,neo4j_raw_bio_relation_predicate_specific_display
cause,306,neo4j_raw_bio_relation_predicate_specific_display
insert into,278,neo4j_raw_bio_relation_predicate_specific_display
activate,198,neo4j_raw_bio_relation_predicate_specific_display
