level,label,count,source_note
Class,Retrotransposons,127,home_stats_api_te_level_class
Class,DNA Transposons,27,home_stats_api_te_level_class
Order,LTR Retrotransposons,71,home_stats_api_te_level_order
Order,Non-LTR Retrotransposons (LINEs),20,home_stats_api_te_level_order
Superfamily,ERV1,35,home_stats_api_te_level_superfamily
Superfamily,ERV3 (HERV-R),22,home_stats_api_te_level_superfamily
Superfamily,SINE1/7SL (Alu),22,home_stats_api_te_level_superfamily
Superfamily,L1 (LINE-1),17,home_stats_api_te_level_superfamily
Superfamily,ERV2 (HERVK),14,home_stats_api_te_level_superfamily
Superfamily,Tc1/Mariner,13,home_stats_api_te_level_superfamily
Superfamily,hAT,9,home_stats_api_te_level_superfamily
Superfamily,SINE-R,7,home_stats_api_te_level_superfamily
Superfamily,SINE2/tRNA,4,home_stats_api_te_level_superfamily
Superfamily,LINE-2 / CR1 (Chicken Repeat 1),3,home_stats_api_te_level_superfamily
Superfamily,SINE3/5S,2,home_stats_api_te_level_superfamily
Superfamily,piggyBac,2,home_stats_api_te_level_superfamily
Superfamily,Other SINE Elements,1,home_stats_api_te_level_superfamily
Superfamily,TTAA,1,home_stats_api_te_level_superfamily
Family,ERVL,12,home_stats_api_te_level_family
Family,L1PA,10,home_stats_api_te_level_family
Family,AluY,9,home_stats_api_te_level_family
Family,MaLR,9,home_stats_api_te_level_family
Family,Other Alu Elements,7,home_stats_api_te_level_family
Family,Other ERV1 LTRs,7,home_stats_api_te_level_family
Family,SVA,7,home_stats_api_te_level_family
Family,HERV9,6,home_stats_api_te_level_family
Family,MER4-group,6,home_stats_api_te_level_family
Family,HERVE,4,home_stats_api_te_level_family
Family,HERVI,4,home_stats_api_te_level_family
Family,MER2,4,home_stats_api_te_level_family
Family,MIR,4,home_stats_api_te_level_family
Family,Mariner,4,home_stats_api_te_level_family
Family,Tigger,4,home_stats_api_te_level_family
Family,hAT-Charlie,4,home_stats_api_te_level_family
Family,Alu Monomers,3,home_stats_api_te_level_family
Family,AluJ,3,home_stats_api_te_level_family
Family,HERVK (HML-2),3,home_stats_api_te_level_family
Family,HERVK11 (MER11),3,home_stats_api_te_level_family
Family,LTR5,3,home_stats_api_te_level_family
Family,hAT-Tip100,3,home_stats_api_te_level_family
Family,CR1,2,home_stats_api_te_level_family
Family,DeuSINE,2,home_stats_api_te_level_family
Family,HERV1,2,home_stats_api_te_level_family
Family,HERVH,2,home_stats_api_te_level_family
Family,HERVK22,2,home_stats_api_te_level_family
Family,L1M,2,home_stats_api_te_level_family
Family,L1MC,2,home_stats_api_te_level_family
Family,BLACKJACK,1,home_stats_api_te_level_family
Family,GOLEM,1,home_stats_api_te_level_family
Family,HAL1,1,home_stats_api_te_level_family
Family,HERV-Fc1,1,home_stats_api_te_level_family
Family,HERV17,1,home_stats_api_te_level_family
Family,HERVK13,1,home_stats_api_te_level_family
Family,HERVK3,1,home_stats_api_te_level_family
Family,HERVKC4,1,home_stats_api_te_level_family
Family,HuRRS-P,1,home_stats_api_te_level_family
Family,L1MB,1,home_stats_api_te_level_family
Family,L1ME,1,home_stats_api_te_level_family
Family,LINE-2,1,home_stats_api_te_level_family
Family,MER21-group,1,home_stats_api_te_level_family
Family,Other hAT Elements,1,home_stats_api_te_level_family
Family,T2_type,1,home_stats_api_te_level_family
