Excel_Row,Disease,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Description
2,Acquired immunodeficiency syndrome (AIDS),"1C62.3Z HIV disease clinical stage 4 without mention of tuberculosis or malaria, unspecified",1C62.3 HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62 Human immunodeficiency virus disease without mention of tuberculosis or malaria,Human immunodeficiency virus disease,01 Certain infectious or parasitic diseases,,,,"AIDS (Acquired Immunodeficiency Syndrome) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV)."
3,Chagas disease,"1F53.Z Chagas disease, unspecified",1F53 Chagas disease,Nonintestinal protozoal diseases,Parasitic diseases,01 Certain infectious or parasitic diseases,,,,Chagas disease is a tropical parasitic disease caused by Trypanosoma cruzi.
4,COVID-19,"RA01.0 COVID-19, virus identified",RA01 COVID-19,International provisional assignment of new diseases of uncertain aetiology and emergency use,25 Codes for special purposes,,,,,COVID-19 is a disease caused by infection with the SARS-CoV-2 virus.
5,genetic disease,"8E02.Z Creutzfeldt-Jakob disease, unspecified",8E02 Genetic prion diseases,Human prion diseases,08 Diseases of the nervous system,,,,,Genetic diseases are disorders caused by abnormalities in an individual's genome.
6,Hepatitis C virus infection,KA62.9 Congenital viral hepatitis,KA62 Viral infection in the fetus or newborn,Infections of the fetus or newborn,19 Certain conditions originating in the perinatal period,,,,,Hepatitis C virus (HCV) infection is a viral infection that primarily affects the liver.
7,HIV infection,"1C62.Z Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",1C62 Human immunodeficiency virus disease without mention of tuberculosis or malaria,Human immunodeficiency virus disease,01 Certain infectious or parasitic diseases,,,,,Infection caused by the human immunodeficiency virus (HIV).
8,human cancer,1C62.3Y Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62.3 HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62 Human immunodeficiency virus disease without mention of tuberculosis or malaria,Human immunodeficiency virus disease,01 Certain infectious or parasitic diseases,,,,Human cancer is a disease characterized by uncontrolled cell growth and tumor formation.
9,human disease,"8E0Z Human prion diseases, unspecified",Human prion diseases,08 Diseases of the nervous system,,,,,,"Human diseases can be caused by mutations, including those attributable to retrotransposable elements."
10,human neoplasms,1C62.3Y Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62.3 HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62 Human immunodeficiency virus disease without mention of tuberculosis or malaria,Human immunodeficiency virus disease,01 Certain infectious or parasitic diseases,,,,"Human neoplasms refer to abnormal growths of tissue, which can be benign or malignant (cancerous)."
11,human tumors,1C62.3Y Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62.3 HIV disease clinical stage 4 without mention of tuberculosis or malaria,1C62 Human immunodeficiency virus disease without mention of tuberculosis or malaria,Human immunodeficiency virus disease,01 Certain infectious or parasitic diseases,,,,Human tumors are abnormal growths of tissue that can be benign or malignant (cancerous).
12,Sepsis,1G40 Sepsis without septic shock,Sepsis,01 Certain infectious or parasitic diseases,,,,,,Sepsis is a life-threatening condition caused by the body's extreme response to an infection.
13,Septic shock,1G41 Sepsis with septic shock,Sepsis,01 Certain infectious or parasitic diseases,,,,,,"Septic shock is a severe form of sepsis characterized by profound circulatory, cellular, and metabolic abnormalities."
14,sporadic diseases,8E00 Sporadic Creutzfeldt-Jakob Disease,Human prion diseases,08 Diseases of the nervous system,,,,,,Sporadic diseases are caused by LINE-1 insertion into new genomic loci.
15,Transmissible spongiform encephalopathies,"8E0Z Human prion diseases, unspecified",Human prion diseases,08 Diseases of the nervous system,,,,,,"A group of progressive neurodegenerative disorders, including scrapie, attributed to prions."
16,22q11.2 deletion syndrome,LD44.NY Other specified deletions of chromosome 22,LD44.N Deletions of chromosome 22,LD44 Deletions of the autosomes,"Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,22q11.2 deletion syndrome (22qDS) is a disorder caused by a deletion of a small piece of chromosome 22.
17,Alport syndrome,LD2H.Y Other specified syndromic genetic deafness,LD2H Syndromic genetic deafness,Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,,"Alport syndrome is a genetic disorder characterized by kidney disease, hearing loss, and eye abnormalities, often caused by mutations in collagen genes."
18,Aneuploidy,"LD7Y Other specified chromosomal anomalies, excluding gene mutations","Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,,,Aneuploidy is a chromosomal abnormality characterized by an abnormal number of chromosomes in a cell.
19,Angelman syndrome,LD90.0 Angelman syndrome,LD90 Conditions with disorders of intellectual development as a relevant clinical feature,20 Developmental anomalies,,,,,,"Angelman syndrome is a genetic disorder that primarily affects the nervous system, causing developmental delays and neurological problems."
20,Charcot-Marie-Tooth type 1A,LD41.G1 Duplications of the short arm of chromosome 17,LD41.G Duplications of chromosome 17,LD41 Duplications of the autosomes,"Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,Charcot-Marie-Tooth type 1A (CMT1A) is an inherited peripheral neuropathy caused by misalignment between the two elements of the CMT1A-REP binary repeat on chromosome 17p11.2-p12.
21,Chromosomal mosaicism,LD54 Male with sex chromosome mosaicism,Sex chromosome anomalies,"Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,,Chromosomal mosaicism is a condition where an individual has two or more populations of cells with different chromosomal complements.
22,Floating Harbor syndrome,"LD2F.1Y Other specified syndromes with multiple structural anomalies, not of environmental origin","LD2F.1 Syndromes with multiple structural anomalies, not of environmental origin","LD2F Syndromes with multiple structural anomalies, without predominant body system involvement",Multiple developmental anomalies or syndromes,20 Developmental anomalies,,,,"Floating Harbor syndrome is a neurodevelopmental disorder characterized by short stature, delayed bone age, expressive language delay, and distinctive facial features."
23,Williams syndrome,LD44.70 Deletions of the long arm of chromosome 7,LD44.7 Deletions of chromosome 7,LD44 Deletions of the autosomes,"Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,"Williams syndrome is a developmental disorder that affects many parts of the body, characterized by mild to moderate intellectual disability or learning problems."
24,Williams-Beuren syndrome,LD44.70 Deletions of the long arm of chromosome 7,LD44.7 Deletions of chromosome 7,LD44 Deletions of the autosomes,"Chromosomal anomalies, excluding gene mutations",20 Developmental anomalies,,,,Williams-Beuren syndrome is a developmental disorder caused by a microdeletion on chromosome 7q11.23.
25,beta-thalassemia,3A50.2 Beta thalassaemia,3A50 Thalassaemias,Anaemias or other erythrocyte disorders,03 Diseases of the blood or blood-forming organs,,,,,beta-thalassemia is a blood disorder caused by mutations in the beta-globin gene.
26,congenital thrombophilia,3B61.0Y Other specified hereditary thrombophilia,3B61.0 Hereditary thrombophilia,3B61 Thrombophilia,"Coagulation defects, purpura or other haemorrhagic or related conditions",03 Diseases of the blood or blood-forming organs,,,,Congenital thrombophilia refers to inherited conditions that increase the tendency to form abnormal blood clots.
27,Dihydropyrimidine dehydrogenase deficiency,5C55.1 Disorders of pyrimidine metabolism,"5C55 Inborn errors of purine, pyrimidine or nucleotide metabolism",Inborn errors of metabolism,Metabolic disorders,"05 Endocrine, nutritional or metabolic diseases",,,,"Dihydropyrimidine dehydrogenase deficiency is a metabolic disorder affecting the breakdown of pyrimidines, leading to severe toxicity to the antineoplastic drug 5-fluorouracil (5-FU)."
28,drug addiction,"MA12.Y Other specified clinical findings of drugs, medicaments and biological substances in blood, blood-forming organs, or the immune system","MA12 Clinical findings of drugs, medicaments and biological substances in blood, blood-forming organs, or the immune system","Clinical findings in blood, blood-forming organs, or the immune system","Symptoms, signs or clinical findings of blood, blood-forming organs, or the immune system","21 Symptoms, signs or clinical findings, not elsewhere classified",,,,"Drug addiction is a chronic, relapsing disorder characterized by compulsive drug seeking and use despite harmful consequences."
29,Fanconi anemia,3A70.0 Congenital aplastic anaemia,3A70 Aplastic anaemia,Anaemias or other erythrocyte disorders,03 Diseases of the blood or blood-forming organs,,,,,"Fanconi anemia is a genetic disorder characterized by bone marrow failure and increased cancer risk, associated with defects in DNA crosslink repair."
30,Haemophilia A,3B10.0 Haemophilia A,3B10 Hereditary factor VIII deficiency,Congenital or constitutional haemorrhagic condition,Coagulation defects,"Coagulation defects, purpura or other haemorrhagic or related conditions",03 Diseases of the blood or blood-forming organs,,,Haemophilia A is an inherited bleeding disorder caused by a deficiency of coagulation factor VIII.
31,hemoglobinopathies,"3A51.Z Sickle cell disorders or other haemoglobinopathies, unspecified",3A51 Sickle cell disorders or other haemoglobinopathies,Anaemias or other erythrocyte disorders,03 Diseases of the blood or blood-forming organs,,,,,Hemoglobinopathies are a group of inherited disorders affecting the structure or production of hemoglobin.
32,Hemolytic anemia,"3A2Z Acquired haemolytic anaemia, unspecified",Acquired haemolytic anaemia,Haemolytic anaemias,Anaemias or other erythrocyte disorders,03 Diseases of the blood or blood-forming organs,,,,Hemolytic anemia is a condition characterized by the premature destruction of red blood cells.
33,hemophilia,3B10.0 Haemophilia A,3B10 Hereditary factor VIII deficiency,Congenital or constitutional haemorrhagic condition,Coagulation defects,"Coagulation defects, purpura or other haemorrhagic or related conditions",03 Diseases of the blood or blood-forming organs,,,Hemophilia is a group of inherited bleeding disorders in which the blood does not clot properly.
34,Hemophilia A,3B10.0 Haemophilia A,3B10 Hereditary factor VIII deficiency,Congenital or constitutional haemorrhagic condition,Coagulation defects,"Coagulation defects, purpura or other haemorrhagic or related conditions",03 Diseases of the blood or blood-forming organs,,,Hemophilia A is an inherited bleeding disorder caused by a deficiency of coagulation factor VIII.
35,Hemophilia B,3B11.0 Haemophilia B,3B11 Hereditary factor IX deficiency,Congenital or constitutional haemorrhagic condition,Coagulation defects,"Coagulation defects, purpura or other haemorrhagic or related conditions",03 Diseases of the blood or blood-forming organs,,,Hemophilia B is an inherited bleeding disorder caused by a deficiency of coagulation factor IX.
36,sickle cell disease,3A51.1 Sickle cell disease without crisis,3A51 Sickle cell disorders or other haemoglobinopathies,Anaemias or other erythrocyte disorders,03 Diseases of the blood or blood-forming organs,,,,,Sickle cell disease is a genetic blood disorder characterized by abnormal hemoglobin and sickle-shaped red blood cells.
37,Abdominal aortic aneurysm,"BD50.4Z Abdominal aortic aneurysm, unspecified",BD50.4 Abdominal aortic aneurysm,BD50 Aortic aneurysm or dissection,Diseases of arteries or arterioles,11 Diseases of the circulatory system,,,,Abdominal aortic aneurysm is a multi-factorial disease characterized by a localized enlargement of the abdominal aorta.
38,cardiomyopathy,"BC43.Z Cardiomyopathy, unspecified",BC43 Cardiomyopathy,Diseases of the myocardium or cardiac chambers,11 Diseases of the circulatory system,,,,,Cardiomyopathy refers to diseases of the heart muscle that make it harder for the heart to pump blood to the rest of the body.
39,Cardiovascular disease,"BE2Z Diseases of the circulatory system, unspecified",11 Diseases of the circulatory system,,,,,,,Cardiovascular disease (CVD) refers to a class of diseases that involve the heart or blood vessels.
40,deep vein thrombosis,BD71.4 Lower limb deep vein thrombosis,BD71 Deep vein thrombosis,Diseases of veins,11 Diseases of the circulatory system,,,,,"Deep vein thrombosis is a condition where a blood clot forms in a deep vein, usually in the leg."
41,diseases of cardiovascular system,"BE2Z Diseases of the circulatory system, unspecified",11 Diseases of the circulatory system,,,,,,,Diseases of the cardiovascular system include conditions affecting the heart and blood vessels.
42,high blood pressure,"BA00.Z Essential hypertension, unspecified",BA00 Essential hypertension,Hypertensive diseases,11 Diseases of the circulatory system,,,,,High blood pressure (hypertension) is a condition in which the force of the blood against the artery walls is too high.
43,Hypoxic pulmonary hypertension,BB01.2 Pulmonary hypertension due to lung disease or hypoxia,BB01 Pulmonary hypertension,Pulmonary heart disease or diseases of pulmonary circulation,11 Diseases of the circulatory system,,,,,Hypoxic pulmonary hypertension (HPH) is a complex vascular disease characterized by elevated pulmonary artery pressure due to chronic hypoxia.
44,Primary lymphoedema,BD93.0 Primary lymphoedema,BD93 Lymphoedema,Disorders of lymphatic vessels or lymph nodes,11 Diseases of the circulatory system,,,,,Primary lymphoedema is a genetic disorder characterized by swelling due to impaired lymphatic system function.
