parent_category_node_id,child_category_node_id,relation_type
dcat_0045aa5aa289,dcat_f316a3818224,HAS_SUBCATEGORY
dcat_00766b41f111,dcat_acede3eaf6fe,HAS_SUBCATEGORY
dcat_009286403f27,dcat_70ba5333d3ce,HAS_SUBCATEGORY
dcat_00a2cef4116e,dcat_423ff4ba844e,HAS_SUBCATEGORY
dcat_00bddb921e90,dcat_ca111088e364,HAS_SUBCATEGORY
dcat_00ca197dba60,dcat_875ce8d964e0,HAS_SUBCATEGORY
dcat_00caea1b07c3,dcat_9b74516068be,HAS_SUBCATEGORY
dcat_00d7b0effc0c,dcat_3b4377f10c7a,HAS_SUBCATEGORY
dcat_00ded450a63e,dcat_ac620dab8123,HAS_SUBCATEGORY
dcat_00f0a04d74ec,dcat_5ac7c9dae733,HAS_SUBCATEGORY
dcat_0143a27af1df,dcat_4a54f544eaa0,HAS_SUBCATEGORY
dcat_019b8c20b83a,dcat_ff301a7e6c2b,HAS_SUBCATEGORY
dcat_01b7050118e8,dcat_b529b96046b4,HAS_SUBCATEGORY
dcat_01e0a173fb5a,dcat_5091abf57827,HAS_SUBCATEGORY
dcat_01ed542f2c5c,dcat_0e0a3aee09d2,HAS_SUBCATEGORY
dcat_0217530b6fca,dcat_4b5559b3cf05,HAS_SUBCATEGORY
dcat_025406b20170,dcat_ce540955023b,HAS_SUBCATEGORY
dcat_02951f8711f7,dcat_a36a52680595,HAS_SUBCATEGORY
dcat_030a613b96d3,dcat_4cb3c039d2b3,HAS_SUBCATEGORY
dcat_0320799599b9,dcat_e3c163d0ad51,HAS_SUBCATEGORY
dcat_0325f0f0321b,dcat_2b1044987bd4,HAS_SUBCATEGORY
dcat_03bb35586910,dcat_364a5a6e00f0,HAS_SUBCATEGORY
dcat_03be63940174,dcat_0ffb9219d128,HAS_SUBCATEGORY
dcat_03c239d162a2,dcat_b1d96093216e,HAS_SUBCATEGORY
dcat_03e8df881828,dcat_92ad6c7f9378,HAS_SUBCATEGORY
dcat_04458800f1e1,dcat_d525c96752f0,HAS_SUBCATEGORY
dcat_046bf18eed48,dcat_29e606883db0,HAS_SUBCATEGORY
dcat_04edcf0ba702,dcat_351f90426622,HAS_SUBCATEGORY
dcat_04f491a0e48d,dcat_44303cd7df77,HAS_SUBCATEGORY
dcat_04ff4d9cb490,dcat_7719c985947a,HAS_SUBCATEGORY
dcat_051093b087a3,dcat_3be5f5622403,HAS_SUBCATEGORY
dcat_051093b087a3,dcat_a6db0e2c1572,HAS_SUBCATEGORY
dcat_05f664fed05f,dcat_a65b95f91ebf,HAS_SUBCATEGORY
dcat_0617a51765a1,dcat_cbab35e6ff41,HAS_SUBCATEGORY
dcat_063df2c6f0dc,dcat_fbdbaaee9a2e,HAS_SUBCATEGORY
dcat_06a0752ef831,dcat_c66780dd0d18,HAS_SUBCATEGORY
dcat_06e3bb79b6a4,dcat_38a92b63bc4b,HAS_SUBCATEGORY
dcat_0773d04f5007,dcat_d676713d8306,HAS_SUBCATEGORY
dcat_0782c2fe119c,dcat_40e8c3ae9363,HAS_SUBCATEGORY
dcat_07f54a1f7437,dcat_4bd97a226e56,HAS_SUBCATEGORY
dcat_07fed948e527,dcat_69060b464c7b,HAS_SUBCATEGORY
dcat_0815da2b875f,dcat_b8585a352020,HAS_SUBCATEGORY
dcat_083c77d0546e,dcat_a3c8c3b9930f,HAS_SUBCATEGORY
dcat_085c70c5b490,dcat_192cbcfcc478,HAS_SUBCATEGORY
dcat_0871e15ea031,dcat_db76f8d97cb8,HAS_SUBCATEGORY
dcat_087441c5a8e2,dcat_d30bae81075e,HAS_SUBCATEGORY
dcat_090a57658610,dcat_c330f0fce846,HAS_SUBCATEGORY
dcat_09148f738dc9,dcat_52f8e1971f4b,HAS_SUBCATEGORY
dcat_095f9cc10f39,dcat_9e0038f0b334,HAS_SUBCATEGORY
dcat_0ae9ee6aa95f,dcat_1c1a24cd62d9,HAS_SUBCATEGORY
dcat_0b5f663eca9e,dcat_530e46092e43,HAS_SUBCATEGORY
dcat_0b90d07b4629,dcat_39ac75ec1073,HAS_SUBCATEGORY
dcat_0ba4666842a2,dcat_f9e386bc429d,HAS_SUBCATEGORY
dcat_0bb7ceba7e94,dcat_935f0b5f50d4,HAS_SUBCATEGORY
dcat_0bc3df72e1fa,dcat_df1c150fc40f,HAS_SUBCATEGORY
dcat_0bec6a2d4259,dcat_544e1a400f63,HAS_SUBCATEGORY
dcat_0bec6decf508,dcat_97be7521e02f,HAS_SUBCATEGORY
dcat_0bf186694201,dcat_2aa7212dd940,HAS_SUBCATEGORY
dcat_0c29c46e11af,dcat_fa9ecaffc5dd,HAS_SUBCATEGORY
dcat_0c3a63d926c7,dcat_c4fcb187cd0a,HAS_SUBCATEGORY
dcat_0cf51aaa6ab5,dcat_f74121c98f98,HAS_SUBCATEGORY
dcat_0d14d572305e,dcat_698f8b820c28,HAS_SUBCATEGORY
dcat_0d3c34a20731,dcat_8c91b083a7a8,HAS_SUBCATEGORY
dcat_0d675c3d9f2d,dcat_e5d077f4da7f,HAS_SUBCATEGORY
dcat_0d6d850c1438,dcat_7c36fa9a8b48,HAS_SUBCATEGORY
dcat_0dbf70d33215,dcat_86a121f31b23,HAS_SUBCATEGORY
dcat_0dc3e66ce571,dcat_62418ad87aed,HAS_SUBCATEGORY
dcat_0e0a3aee09d2,dcat_7ad0b6a1a9a5,HAS_SUBCATEGORY
dcat_0e22e5d2fb02,dcat_6924e5a3316e,HAS_SUBCATEGORY
