category_node_id,category_label,category_level,path_key,top_category,is_leaf
dcat_6e240af1cffc,02 Neoplasms,1,02 Neoplasms,02 Neoplasms,true
dcat_2ac36d70ce5b,"06 Mental, behavioural or neurodevelopmental disorders",1,"06 Mental, behavioural or neurodevelopmental disorders","06 Mental, behavioural or neurodevelopmental disorders",true
dcat_d4dc85d5f2bc,09 Diseases of the visual system,1,09 Diseases of the visual system,09 Diseases of the visual system,true
dcat_5c688ff1bf19,16 Diseases of the genitourinary system,1,16 Diseases of the genitourinary system,16 Diseases of the genitourinary system,true
dcat_0bc3df72e1fa,1C62.3Y Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria,1,1C62.3Y Other specified HIV disease clinical stage 4 without mention of tuberculosis or malaria,01 Certain infectious or parasitic diseases,false
dcat_5d9add9a68c4,"1C62.3Z HIV disease clinical stage 4 without mention of tuberculosis or malaria, unspecified",1,"1C62.3Z HIV disease clinical stage 4 without mention of tuberculosis or malaria, unspecified",01 Certain infectious or parasitic diseases,false
dcat_b61a7fb3c6cc,"1C62.Z Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",1,"1C62.Z Human immunodeficiency virus disease without mention of associated disease or condition, clinical stage unspecified",01 Certain infectious or parasitic diseases,false
dcat_be5e56d31400,1E30 Influenza due to identified seasonal influenza virus,1,1E30 Influenza due to identified seasonal influenza virus,01 Certain infectious or parasitic diseases,false
dcat_96b413443a8f,"1F53.Z Chagas disease, unspecified",1,"1F53.Z Chagas disease, unspecified",01 Certain infectious or parasitic diseases,false
dcat_692a39f5c19f,1G40 Sepsis without septic shock,1,1G40 Sepsis without septic shock,01 Certain infectious or parasitic diseases,false
dcat_caf9faa8d9e2,1G41 Sepsis with septic shock,1,1G41 Sepsis with septic shock,01 Certain infectious or parasitic diseases,false
dcat_71d6e2a5783b,2A00.00 Glioblastoma of brain,1,2A00.00 Glioblastoma of brain,02 Neoplasms,false
dcat_6dcaa3b20afc,2A00.0Y Other specified gliomas of brain,1,2A00.0Y Other specified gliomas of brain,02 Neoplasms,false
dcat_3e4b32faaede,"2A00.0Z Gliomas of brain, unspecified",1,"2A00.0Z Gliomas of brain, unspecified",02 Neoplasms,false
dcat_5351bb8bce0c,2A00.1Y Other specified embryonal tumours of brain,1,2A00.1Y Other specified embryonal tumours of brain,Neoplasms of central nervous system or related structures,false
dcat_c3cc9decdcbb,2A00.20 Tumours of the pineal gland or pineal region,1,2A00.20 Tumours of the pineal gland or pineal region,02 Neoplasms,false
dcat_9296c38f5320,2A22 Other and unspecified myeloproliferative neoplasms,1,2A22 Other and unspecified myeloproliferative neoplasms,02 Neoplasms,false
dcat_ad1061814731,"2A3Z Myelodysplastic syndromes, unspecified",1,"2A3Z Myelodysplastic syndromes, unspecified",02 Neoplasms,false
dcat_d5fcb2da4227,"2A41 Atypical chronic myeloid leukaemia, BCR-ABL1-negative",1,"2A41 Atypical chronic myeloid leukaemia, BCR-ABL1-negative",02 Neoplasms,false
dcat_75e9dfb0332a,2A60.0 Acute myeloid leukaemia with recurrent genetic abnormalities,1,2A60.0 Acute myeloid leukaemia with recurrent genetic abnormalities,02 Neoplasms,false
dcat_5df23ab92c91,"2A60.3Z Acute myeloid leukaemia, unspecified",1,"2A60.3Z Acute myeloid leukaemia, unspecified",02 Neoplasms,false
dcat_fce7a3fdc8de,"2A70.0 B lymphoblastic leukaemia or lymphoma, not elsewhere classified",1,"2A70.0 B lymphoblastic leukaemia or lymphoma, not elsewhere classified",02 Neoplasms,false
dcat_06e3bb79b6a4,2A70.1 B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1,1,2A70.1 B lymphoblastic leukaemia or lymphoma with t(9:22) (q34;q11.2); BCR-ABL1,02 Neoplasms,false
dcat_7975474bb90c,2A70.Y Other B-lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities,1,2A70.Y Other B-lymphoblastic leukaemia/lymphoma with recurrent genetic abnormalities,02 Neoplasms,false
dcat_330df338b0fd,2A81.9 Primary effusion lymphoma,1,2A81.9 Primary effusion lymphoma,02 Neoplasms,false
dcat_b55264f3959c,"2A81.Z Diffuse large B-cell lymphoma, not otherwise specified",1,"2A81.Z Diffuse large B-cell lymphoma, not otherwise specified",02 Neoplasms,false
dcat_d38542c89f12,2A82.00 Chronic lymphocytic leukaemia of B-cell type,1,2A82.00 Chronic lymphocytic leukaemia of B-cell type,02 Neoplasms,false
dcat_22b336998822,2A83.1 Plasma cell myeloma,1,2A83.1 Plasma cell myeloma,02 Neoplasms,false
dcat_816311dababe,2A85.6 Burkitt lymphoma including Burkitt leukaemia,1,2A85.6 Burkitt lymphoma including Burkitt leukaemia,02 Neoplasms,false
dcat_0dc3e66ce571,"2A8Z Mature B-cell neoplasms, unspecified",1,"2A8Z Mature B-cell neoplasms, unspecified",02 Neoplasms,false
dcat_586f9563a94f,"2A90.5 Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated",1,"2A90.5 Adult T-cell lymphoma or leukaemia, human T-cell lymphotropic virus type 1-associated",02 Neoplasms,false
dcat_a2dba557b60c,"2B30.Z Hodgkin lymphoma, unspecified",1,"2B30.Z Hodgkin lymphoma, unspecified",02 Neoplasms,false
dcat_b8ec3f87f1ae,2B33.1 Myeloid leukaemia,1,2B33.1 Myeloid leukaemia,02 Neoplasms,false
dcat_223efe968466,"2B33.2 Chronic myeloid leukaemia, not elsewhere classified",1,"2B33.2 Chronic myeloid leukaemia, not elsewhere classified",02 Neoplasms,false
dcat_6afc4b787a61,"2B33.3 Lymphoid leukaemia, not elsewhere classified",1,"2B33.3 Lymphoid leukaemia, not elsewhere classified",02 Neoplasms,false
dcat_6c684ff098f1,"2B33.4 Leukaemia, unspecified",1,"2B33.4 Leukaemia, unspecified",02 Neoplasms,false
dcat_6c4abcaf8dc9,"2B33.5 Malignant lymphoma, not elsewhere classified",1,"2B33.5 Malignant lymphoma, not elsewhere classified",02 Neoplasms,false
dcat_33f0c79cd4cf,2B33.Y Other malignant haematopoietic neoplasms without further specification,1,2B33.Y Other malignant haematopoietic neoplasms without further specification,02 Neoplasms,false
dcat_d5b0975d1a48,2B51.Y Osteosarcoma of bone and articular cartilage of other specified sites,1,2B51.Y Osteosarcoma of bone and articular cartilage of other specified sites,02 Neoplasms,false
dcat_2e4d48623256,2B51.Z Osteosarcoma of bone and articular cartilage of unspecified sites,1,2B51.Z Osteosarcoma of bone and articular cartilage of unspecified sites,02 Neoplasms,false
dcat_2822aab2a2f6,"2B57 Kaposi sarcoma, primary site",1,"2B57 Kaposi sarcoma, primary site",02 Neoplasms,false
dcat_c14d1084001a,2B57.Z Kaposi sarcoma of unspecified primary site,1,2B57.Z Kaposi sarcoma of unspecified primary site,02 Neoplasms,false
dcat_04edcf0ba702,"2B58.Y Leiomyosarcoma, other specified primary site",1,"2B58.Y Leiomyosarcoma, other specified primary site",02 Neoplasms,false
dcat_17160c79e754,2B5D.0 Malignant mixed epithelial mesenchymal tumour of ovary,1,2B5D.0 Malignant mixed epithelial mesenchymal tumour of ovary,02 Neoplasms,false
dcat_ba8145026b1b,"2B5F.2 Sarcoma, not elsewhere classified of other specified sites",1,"2B5F.2 Sarcoma, not elsewhere classified of other specified sites",02 Neoplasms,false
dcat_07fed948e527,"2B5H Well differentiated lipomatous tumour, primary site",1,"2B5H Well differentiated lipomatous tumour, primary site",02 Neoplasms,false
dcat_eb8793362ab5,"2B69.Z Malignant neoplasms of tonsil, unspecified",1,"2B69.Z Malignant neoplasms of tonsil, unspecified",02 Neoplasms,false
dcat_44612dfbd632,"2B6B.1 Malignant epithelial neoplasms of nasopharynx, unspecified type",1,"2B6B.1 Malignant epithelial neoplasms of nasopharynx, unspecified type",02 Neoplasms,false
dcat_929c0a7813a6,"2B6E.0 Squamous cell carcinoma of other or ill-defined sites in the lip, oral cavity or pharynx",1,"2B6E.0 Squamous cell carcinoma of other or ill-defined sites in the lip, oral cavity or pharynx",02 Neoplasms,false
dcat_892226220310,2B70 Malignant neoplasms of oesophagus,1,2B70 Malignant neoplasms of oesophagus,02 Neoplasms,false
dcat_8d70711764f2,"2B70.0Z Adenocarcinoma of oesophagus, unspecified",1,"2B70.0Z Adenocarcinoma of oesophagus, unspecified",02 Neoplasms,false
dcat_5e20b95efeaf,2B70.1 Squamous cell carcinoma of oesophagus,1,2B70.1 Squamous cell carcinoma of oesophagus,02 Neoplasms,false
dcat_7a47e2fb1da6,"2B70.Z Malignant neoplasms of oesophagus, unspecified",1,"2B70.Z Malignant neoplasms of oesophagus, unspecified",02 Neoplasms,false
dcat_2f6379f6e624,"2B71.Z Malignant neoplasms of oesophagogastric junction, unspecified",1,"2B71.Z Malignant neoplasms of oesophagogastric junction, unspecified",02 Neoplasms,false
dcat_989543c7673f,2B72 Malignant neoplasms of stomach,1,2B72 Malignant neoplasms of stomach,02 Neoplasms,false
dcat_1220d2dd26d3,2B72.0 Adenocarcinoma of stomach,1,2B72.0 Adenocarcinoma of stomach,02 Neoplasms,false
dcat_9dc73b59b8ef,2B72.Y Other specified malignant neoplasms of stomach,1,2B72.Y Other specified malignant neoplasms of stomach,02 Neoplasms,false
dcat_eeb398049de8,"2B72.Z Malignant neoplasms of stomach, unspecified",1,"2B72.Z Malignant neoplasms of stomach, unspecified",02 Neoplasms,false
dcat_3d4dad0eabc6,2B80.11 Neuroendocrine neoplasms of jejunum or ileum,1,2B80.11 Neuroendocrine neoplasms of jejunum or ileum,02 Neoplasms,false
dcat_f017cbcda383,"2B80.20 Adenocarcinoma of small intestine, site unspecified",1,"2B80.20 Adenocarcinoma of small intestine, site unspecified",02 Neoplasms,false
dcat_83fd4a2f95e6,2B90.Y Other specified malignant neoplasms of colon,1,2B90.Y Other specified malignant neoplasms of colon,02 Neoplasms,false
dcat_21da1b8aded1,"2B90.Z Malignant neoplasms of colon, unspecified",1,"2B90.Z Malignant neoplasms of colon, unspecified",02 Neoplasms,false
dcat_809599ea0bf3,2B91.0 Adenocarcinoma of rectosigmoid junction,1,2B91.0 Adenocarcinoma of rectosigmoid junction,02 Neoplasms,false
