,Family,Superfamily,Class,TE_human
1,L1MC5a,L1,LINE,L1MC5a|L1|LINE
2,MER5B,hAT-Charlie,DNA,MER5B|hAT-Charlie|DNA
3,MIR3,MIR,SINE,MIR3|MIR|SINE
4,L2a,L2,LINE,L2a|L2|LINE
5,L3,CR1,LINE,L3|CR1|LINE
6,Plat_L3,CR1,LINE,Plat_L3|CR1|LINE
7,MLT1K,ERVL-MaLR,LTR,MLT1K|ERVL-MaLR|LTR
8,MIR,MIR,SINE,MIR|MIR|SINE
9,L2b,L2,LINE,L2b|L2|LINE
12,MIR1_Amn,MIR,SINE,MIR1_Amn|MIR|SINE
13,L2c,L2,LINE,L2c|L2|LINE
14,AluSp,Alu,SINE,AluSp|Alu|SINE
16,MER33,hAT-Charlie,DNA,MER33|hAT-Charlie|DNA
17,MIRb,MIR,SINE,MIRb|MIR|SINE
19,L1MB3,L1,LINE,L1MB3|L1|LINE
20,MER53,hAT,DNA,MER53|hAT|DNA
21,MLT1A,ERVL-MaLR,LTR,MLT1A|ERVL-MaLR|LTR
23,MIRc,MIR,SINE,MIRc|MIR|SINE
24,AluJo,Alu,SINE,AluJo|Alu|SINE
27,L1MB5,L1,LINE,L1MB5|L1|LINE
28,Alu,Alu,SINE,Alu|Alu|SINE
29,L1PA6,L1,LINE,L1PA6|L1|LINE
30,L1P1,L1,LINE,L1P1|L1|LINE
32,MLT1J2,ERVL-MaLR,LTR,MLT1J2|ERVL-MaLR|LTR
34,AluJr,Alu,SINE,AluJr|Alu|SINE
35,Charlie5,hAT-Charlie,DNA,Charlie5|hAT-Charlie|DNA
38,MLT1E1A-int,ERVL-MaLR,LTR,MLT1E1A-int|ERVL-MaLR|LTR
39,MLT1E1A,ERVL-MaLR,LTR,MLT1E1A|ERVL-MaLR|LTR
40,AluSx,Alu,SINE,AluSx|Alu|SINE
43,AluSz6,Alu,SINE,AluSz6|Alu|SINE
44,LTR16C,ERVL,LTR,LTR16C|ERVL|LTR
45,ERV3-16A3_I-int,ERVL,LTR,ERV3-16A3_I-int|ERVL|LTR
46,MamRep1527,LTR,LTR,MamRep1527|LTR|LTR
47,L1MA8,L1,LINE,L1MA8|L1|LINE
49,L1M5,L1,LINE,L1M5|L1|LINE
50,L1MA9,L1,LINE,L1MA9|L1|LINE
51,LTR12F,ERV1,LTR,LTR12F|ERV1|LTR
52,MER45A,hAT-Tip100,DNA,MER45A|hAT-Tip100|DNA
53,MER58A,hAT-Charlie,DNA,MER58A|hAT-Charlie|DNA
54,L1PA14,L1,LINE,L1PA14|L1|LINE
55,AluYj4,Alu,SINE,AluYj4|Alu|SINE
56,L2,L2,LINE,L2|L2|LINE
57,FLAM_A,Alu,SINE,FLAM_A|Alu|SINE
60,MER47A,TcMar-Tigger,DNA,MER47A|TcMar-Tigger|DNA
61,L1ME4c,L1,LINE,L1ME4c|L1|LINE
62,AluSc,Alu,SINE,AluSc|Alu|SINE
64,L1PA4,L1,LINE,L1PA4|L1|LINE
67,LTR89,ERVL,LTR,LTR89|ERVL|LTR
71,L1PA7,L1,LINE,L1PA7|L1|LINE
73,L1PA16,L1,LINE,L1PA16|L1|LINE
75,L1PA2,L1,LINE,L1PA2|L1|LINE
78,AluSz,Alu,SINE,AluSz|Alu|SINE
81,L1M2,L1,LINE,L1M2|L1|LINE
84,L1PREC2,L1,LINE,L1PREC2|L1|LINE
85,L1PB,L1,LINE,L1PB|L1|LINE
86,Tigger5b,TcMar-Tigger,DNA,Tigger5b|TcMar-Tigger|DNA
87,AluSc5,Alu,SINE,AluSc5|Alu|SINE
89,Tigger5,TcMar-Tigger,DNA,Tigger5|TcMar-Tigger|DNA
91,L1M4,L1,LINE,L1M4|L1|LINE
96,HAL1M8,L1,LINE,HAL1M8|L1|LINE
98,LTR103b_Mam,ERV1,LTR,LTR103b_Mam|ERV1|LTR
103,MLT1H2,ERVL-MaLR,LTR,MLT1H2|ERVL-MaLR|LTR
105,AluY,Alu,SINE,AluY|Alu|SINE
106,MER4D1,ERV1,LTR,MER4D1|ERV1|LTR
107,MER4CL34,ERV1,LTR,MER4CL34|ERV1|LTR
111,L5,RTE-X,LINE,L5|RTE-X|LINE
114,MLT1H,ERVL-MaLR,LTR,MLT1H|ERVL-MaLR|LTR
116,MLT1I,ERVL-MaLR,LTR,MLT1I|ERVL-MaLR|LTR
117,AluSg4,Alu,SINE,AluSg4|Alu|SINE
119,MamRep605,LTR,LTR,MamRep605|LTR|LTR
128,AluSx3,Alu,SINE,AluSx3|Alu|SINE
130,LTR33,ERVL,LTR,LTR33|ERVL|LTR
